Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;Telefax;EMail;Newsletter;Eintragsdatum
781;k.A.;;Ehrengard;Lüttge;;Schürmannstraße;29c;25358;Hohenfelde;04126/21394469;0173/8301021;;ehrengard_luettge@validmail.none;;30.09.2002
782;Frau;;Friedburg;Dücker;;Invalidensiedlung;196c;56820;Nehren;;;;;;31.01.1938
783;k.A.;;Lottemaria;Kühler;;Pappelweg;98;24395;Stangheck;;0158/2448540;04643/18801297;lottemariakuehler@web.none;ja;12.05.1933
784;Herr;;Engelhardt;Ploch;;Weider Höhe;61 c;89188;Merklingen;07337/26255255;;;engelhardt-ploch@email.none;ja;22.09.1969
785;Herr;;Adolf;Magiera;;Fuhrstraße;133;66957;Trulben;06335/80986994;0164/2052171;;a_magiera@xyz.none;;24.02.2000
786;Frau;;Trautchen;Bestmann;;Auf dem Hermes;20;73765;Neuhausen auf den Fildern;;0163/8049866;07158/87573782;trautchen.22@hoster.none;;29.11.2022
787;Frau;;Grit;Schwerdt;;Untere Vallendarer Straße;106;55608;Schneppenbach;06752/80504906;0160/4859140;;grit.schwerdt@anymail.none;;30.09.1994
788;Herr;;Lindmar;Emmer;;Hogenbergstraße;139;09456;Annaberg-Buchholz;03733/46130421;0166/9442733;03733/93277302;l_emmer@quickmail.none;;16.05.1983
789;k.A.;Dr.;Heiner;Kölbl;02.10.1913;Ringelnatzstraße;91;67822;Kalkofen;06362/61067355;0177/7339481;;heinerkoelbl@live-mail.none;;12.07.2005
790;Herr;Dr.;Xaverius;Reitmeier;11.09.1949;Eilenburger Straße;27;54424;Gielert;06504/72325568;;;xreitmeier@web.none;;19.08.1955
791;Herr;;Quentin;Arp;;Am Mühlenbach;109;53518;Adenau;02691/59733384;0158/4659390;;;;28.03.1991
792;Frau;;Ingunde;Bauermeister;27.04.1928;Freilinger Straße;136;55124;Mainz am Rhein;06131/32911489;0158/6373299;;i-bauermeister@funmail.none;ja;27.04.1939
793;Frau;;Magdalene;Schomann;;Erlenkamp;9;17091;Kriesow;03960/10327666;0164/5467277;;;;25.11.2009
794;Frau;;Ingerose;Tiedemann;;Loburg;123;26122;Oldenburg;0441/32010602;0164/5751274;;i_1932@xyz.none;;18.01.1952
795;Herr;;Joshua;Hohenberger;;Ruitscher Weg;197;49770;Dohren;05962/27657199;0172/1892837;;joshua.1932@net-mail.none;ja;25.02.2005
796;Herr;;Sigfried;Klopsch;02.07.2011;Hollertszug;3;31241;Ilsede;;0166/9222186;;sigfried_klopsch@company.none;ja;30.07.2020
797;Frau;;Dorkas;Hotz;19.11.2001;Veilchenstraße;76;47259;Duisburg;;0154/9539351;;dorkas_hotz@xyz.none;ja;09.10.2017
798;Frau;;Elenore;Zenk;;Rheinlandstraße;168;56414;Obererbach;06435/13976194;0153/6952655;;e1958@open-mail.none;ja;08.04.2020
799;Frau;;Melanie;Russ;;Lilienstraße;43;93083;Obertraubling;09401/76050788;;;m_russ@inter-mail.none;;20.08.1952
800;Frau;;Tilla;Saager;09.05.1937;Brockhauser Weg;48;03238;Lugau;03531/85535263;0152/2452075;;t_1937@bestmail.none;;15.05.1953
801;Frau;;Isedore;Metzner;;Hasenkampstraße;101;79725;Laufenburg;07763/5646212;;07763/42893541;;ja;02.05.1949
802;Herr;;Lennox;Mauersberger;;Kraneburgstraße;63;66909;Herschweiler-Pettersheim;;0163/8224610;;lennox_mauersberger@quickmail.none;;15.10.2020
803;Frau;;Maike;Krehl;;Kalteborn;7;89601;Schelklingen;07394/78407318;0152/9174622;07394/40357809;;;14.10.2023
804;Herr;;Philipp;Gebel;;Siedlerstraße;94;54531;Meerfeld;;0164/3362271;;philippgebel@private.none;;09.12.2014
805;Frau;;Sibylla;Höhler;;Tetendonk;169;25355;Barmstedt;04123/29634692;0176/7364517;;;;17.09.2005
806;Herr;;Hansgeorg;Zabel;;Erkrather Straße;90;25791;Linden;;0163/2795809;04836/25121169;hansgeorg.1961@live-mail.none;;25.04.1969
807;Herr;;Christopherus;Appelt;09.01.1916;Wolfsbachweg;144;86381;Krumbach;08282/56450927;0164/3574765;;;;17.04.2018
808;Frau;;Edeltrud;Koschinski;;Keplerstraße;119;49205;Hasbergen;05405/73983708;0162/4017187;;edeltrudkoschinski@live-mail.none;ja;14.05.2000
809;Herr;;Christhardt;Neumair;23.10.1921;Siegstraße;56;25348;Blomesche Wildnis;04124/80335319;;;christhardt_neumair@web.none;;11.06.1964
810;Frau;;Liesl;Erdogan;;Reichshofstraße;148;78583;Böttingen;07429/16997202;0162/9648810;;;ja;18.02.1966
811;Frau;;Marga;Uecker;;Am Römerlager;3;10783;Berlin;;;;marga_72@private.none;;22.04.1975
812;Herr;;Utho;Wisniewski;;Beethovenring;100;24594;Wapelfeld;04871/18354138;0158/8491791;;;;28.05.1988
813;Frau;;Albine;Osborne;;Im Großen Dorf;107;72655;Altdorf;07127/38703664;0152/3222277;;albine.47@private.none;;21.12.1998
814;Herr;;Hartmut;Sobek;;Höhenring;200;55743;Hintertiefenbach;06785/81759512;0169/4127114;06785/27055582;;ja;08.11.1976
815;Herr;;Marko;Hennings;;Koblenzer Weg;197;47652;Weeze;02837/80049494;;;marko.hennings@company.none;ja;28.11.2000
816;Frau;;Sighilde;Thöne;10.04.1964;Kasbachtalstraße;131;21379;Lüdersburg;04136/913614;0169/4261567;;sighilde_thoene@private.none;;25.07.1981
817;k.A.;;Ilsemarie;Richter;17.09.1905;Klein-Buchholzer Kirchweg;36;94345;Aholfing;09429/65191529;0150/5720155;;i.richter@xyz.none;ja;17.08.1981
818;Herr;;Isidor;Haug;23.10.1950;Lilienstraße;148;54317;Sommerau;0651/78081004;0163/1251872;;i-1950@quickmail.none;ja;12.08.2002
819;Frau;;Elli;Katzmann;;Kretenbergstraße;25;26939;Ovelgönne;04480/49416303;;;;;03.01.2024
820;Herr;;Fidelius;Kraska;;Driescheider Weg;119;33378;Rheda-Wiedenbrück;05242/31033546;;05242/99074024;f1902@open-mail.none;;21.03.2013
821;Frau;;Inge;Maresch;;Adolf-Braun-Straße;156;88145;Hergatz;08385/77377687;0172/1574986;;inge51@private.none;;21.05.1969
822;Frau;;Roslinde;Wagenknecht;10.08.1966;Kappelstraße;132;53520;Senscheid;02691/51535333;0163/3218471;;r.wagenknecht@hoster.none;;10.06.2017
823;Herr;;Sylvester;Friz;;Meiswinkeler Straße;74;30900;Wedemark;05130/42267078;;;sylvester20@email.none;;09.07.1965
824;Frau;;Krimhild;Litz;;Kronprinzenstraße;172;85122;Hitzhofen;;;;k_litz@web.none;;08.09.2025
825;Frau;;Birgitt;Lübke;;Langfuhr;164;55487;Niedersohren;;0163/6689046;;b.luebke@mymail.none;nein;28.03.1997
826;Herr;;Rudi;Gronwald;;Wendelinusstraße;108;30926;Seelze;05137/23662894;0152/5955759;;r.gronwald@quickmail.none;ja;31.10.2022
827;Herr;;Dominic;Beck;;Oleftal;185;38228;Salzgitter;;0175/5410998;;dominic.beck@anymail.none;ja;28.05.2023
828;Herr;;Siegenot;Hillenbrand;;Landauerweg;177;21255;Königsmoor;;0150/3664279;04180/30301624;s_hillenbrand@quickmail.none;ja;13.12.2004
829;Frau;;Elise;Rupp;;Bienenweg;175;55288;Udenheim;06732/95263732;;;elise.64@anymail.none;nein;22.11.2008
830;Herr;;Raimar;Klauß;;Waldbröler Straße;108;56305;Puderbach;02684/42381734;0179/1126758;;raimar_klauss@mymail.none;nein;23.06.1916
831;Frau;;Kreszenzia;Rettberg;;Litzenbachstraße;42;61267;Neu-Anspach;06081/8743041;0158/1280967;;kreszenziarettberg@private.none;nein;10.01.1965
832;Frau;;Irlanda;Moritz;28.09.1935;Auf der Gasse;198;67744;Kirrweiler;06382/11561697;0163/2063243;;irlanda_moritz@private.none;;14.08.1980
833;Frau;;Selma;Bauder;;Schwarze Flage;126;53520;Dankerath;02691/18183499;;;selmabauder@email.none;nein;07.05.1974
834;Frau;;Christine;Grubert;;Wehrer Straße;68;71723;Großbottwar;07148/38159308;0167/5482633;07148/91848961;;;21.02.1930
835;Herr;;Maic;Kowollik;;Tucholskystraße;172;84570;Polling;08631/42553522;0156/1768692;;maic-kowollik@bestmail.none;ja;29.11.1998
836;Herr;;Timotheus;Weißenberger;;Hünefeldstraße;158;28201;Bremen;0421/47562194;;;timotheus_weissenberger@domain.none;;16.07.2024
837;Herr;;Lenard;Laue;30.11.2012;Im Brochenbach;29;66780;Rehlingen-Siersburg;;0165/1994673;;lenard-laue@company.none;;11.03.2021
838;Herr;;Otheinrich;Walkowiak;;Steinerbergstraße;128;23795;Klein Gladebrügge;04551/3320728;0177/2165535;;otheinrich-walkowiak@justmail.none;;24.01.2004
839;Frau;;Lyn;Glocke;;Niddastraße;88;55490;Gemünden;06763/83987782;0150/7973474;;lyn1932@anymail.none;;29.04.1942
840;Frau;;Isabella;Baus;;Willicher Straße;53;50129;Bergheim;02271/46631966;0173/3613055;;isabella-baus@spam-mail.none;;01.08.2024
841;Herr;;Cordt;Arenz;;Stahlenhauser Straße;172;54636;Scharfbillig;06561/21549842;0152/3846379;;cordt_arenz@open-mail.none;ja;09.04.2003
842;Herr;;Christmut;Bloß;23.01.1910;Henriette-Davidis-Weg;100;82064;Straßlach-Dingharting;08170/19497686;0156/7621414;;;;14.03.1966
843;Frau;;Ehrentraut;Spaniol;;Zimmerstraße;181;36163;Poppenhausen;;0174/9239921;;ehrentraut.19@mymail.none;ja;13.12.2024
844;Frau;;Ines;Li;;Linkertsweg;54;88348;Bad Saulgau;07581/71844337;0163/5825585;;i14@hoster.none;nein;22.03.2021
845;Herr;;Golo;Lotter;;Wessumer Straße;87;42327;Wuppertal;0202/43727365;;;golo-lotter@retromail.none;;19.01.2013
846;Frau;;Amy;Hilpert;;Röckenstraße;146;92280;Kastl;09625/31525748;0170/1742004;;a_hilpert@mymail.none;;12.04.1931
847;Frau;;Siegtraud;Böcker;;Brahmsstraße;81;79761;Waldshut-Tiengen;07741/90109204;0173/7787580;;siegtraudboecker@mymail.none;ja;31.12.1987
848;Frau;;Roseline;Mosel;;Gedulderweg;124c;56281;Emmelshausen;06747/8673328;0172/7312798;;r-mosel@net-mail.none;ja;12.04.1987
849;Herr;;Brandolf;Ringe;;Martin-Luther-Straße;75c;07389;Peuschen;;0176/7443592;;b-1911@kitty.none;;14.06.1950
850;Herr;;Meinold;Gutsch;;Freilinger Straße;45;78592;Egesheim;07429/82328283;0173/9307242;;meinold.gutsch@justmail.none;nein;24.01.1995
851;Herr;;Gerhardt;Schommer;;Im Wingert;50;72138;Kirchentellinsfurt;07121/93333447;;;g-1957@spam-mail.none;;09.12.2000
852;Herr;;Eberhart;Henz;;Im Kirschengarten;136;29221;Celle;05141/89689818;;;e.1954@net-mail.none;;30.01.1967
853;Frau;Prof. Dr.;Edeltrudis;Güntner;;Schweriner Straße;159;67742;Buborn;06382/20464575;0154/3335581;;eguentner@quickmail.none;;06.01.2020
854;Herr;;Thorben;Gebhard;07.12.1995;Kamper Straße;10;35685;Dillenburg;02771/55695589;;02771/9748475;thorben.gebhard@open-mail.none;nein;10.07.2015
855;Herr;;Sönke;Stoldt;;Zum Scharfenstein;67;66953;Pirmasens;06331/85229617;;;soenke_stoldt@xyz.none;;01.02.1999
856;Frau;;Claudia;Wohlfeil;;Richard-Bertram-Straße;10;67655;Kaiserslautern;0631/44411331;0178/4299280;;claudia_wohlfeil@validmail.none;ja;18.05.2006
857;k.A.;;Ottkar;Wörle;17.09.1908;Lüttelforst;47;25938;Midlum;;0159/8650873;;o_woerle@private.none;;18.11.2022
858;k.A.;;Hieronimus;Blenk;;Horstmarer Straße;138;88317;Aichstetten;07565/46198518;;;;;17.07.1996
859;Frau;;Sybilla;Rolle;27.02.1965;Im Thomasfeld;92;71711;Murr;;0152/1869146;;sybilla.rolle@email.none;;28.12.2020
860;Frau;;Daniela;Ostler;;Feldhauser Straße;190 c;55758;Langweiler;;0178/2574484;;daniela.27@email.none;ja;01.05.1940
861;Herr;;Reimund;Schierholz;05.07.1936;Arnsberger Straße;164;89551;Königsbronn;07328/37002936;;;reimund_schierholz@goggle-mail.none;;04.01.1995
862;Frau;;Noa;Mehrtens;;Fürstenberger Straße;132;73113;Ottenbach;07165/95856681;;;;;22.12.1985
863;Herr;;Julius;Lohrengel;;Bad Marienberger Straße;51;54636;Echtershausen;06561/34681299;0164/7233070;;;;30.10.2010
864;Frau;;Marielouise;Böhne;;Kalter Rain;186 c;13507;Tegel;030/91915892;0153/8072744;;marielouise-boehne@domain.none;;27.05.2020
865;k.A.;;Belina;Wittrock;;Ginsterheide;56;55595;Gebroth;06756/88177530;0161/2434361;;;;16.02.1975
866;Frau;;Marinette;Kamphausen;02.11.1955;Elbinger Straße;38;86747;Maihingen;;0172/1844261;;marinettekamphausen@mymail.none;;28.07.1986
867;Frau;;Elgard;Schwinghammer;06.02.1990;Rennpfad;74;65594;Runkel;06482/71169097;0154/2874659;;elgardschwinghammer@spam-mail.none;;19.03.2017
868;Herr;;Amadeus;Zwingmann;;An der Stadtmauer;7;49545;Tecklenburg;05482/44740268;0162/9018965;;a.zwingmann@goggle-mail.none;;13.11.2004
869;Herr;;Kord;Grimminger;;Küpperweg;113;17237;Godendorf;03981/33556409;0162/6713488;;kord51@justmail.none;;17.06.1977
870;Herr;;Guido;Siller;04.06.1995;Nonnbachstraße;3;86868;Mittelneufnach;;0159/7102105;;guido_1995@company.none;ja;25.09.2018
871;Herr;;Bennet;Rottmann;17.11.2022;Am Kirchberg;191;71570;Oppenweiler;07191/42336157;;;bennet.rottmann@retromail.none;;28.09.2025
872;Herr;;Friedwin;Heinze;;Lohstraße;135;25482;Appen;04101/60479555;0157/4258063;;;;27.10.2005
873;Herr;;Nepomuk;Stößel;;Luxemburger Allee;41;58099;Hagen;02331/4597419;0164/2403875;;;;11.06.2000
874;Frau;;Adele;Kutschera;24.01.1938;Waldenburger Weg;105;73266;Bissingen an der Teck;07023/69047785;0157/3290723;;adele-38@goggle-mail.none;ja;17.08.1992
875;Frau;;Ingelies;Meindl;31.05.1981;Hunsrückstraße;63;35689;Dillenburg;02771/91821081;0173/1534951;;ingelies_81@kitty.none;ja;29.07.1985
876;Frau;Dr.;Rosegret;Tran;;Heimstraße;146;66871;Haschbach am Remigiusberg;06381/10196996;0161/4052202;;rosegret_1941@quickmail.none;;25.02.1966
877;k.A.;;Meinold;Lautenschlager;;Tannenweg;89;26897;Bockhorst;04967/71641888;0154/9031462;;meinold_lautenschlager@validmail.none;;01.07.1971
878;Herr;;Gerlach;Stumpp;;Neulandstraße;170;93047;Regensburg;0941/10340776;;;gerlach1977@justmail.none;;24.03.2005
879;k.A.;;Arne;Bothe;;Am Gäsbach;110;54317;Thomm;0651/97334490;0175/9687023;;;;10.08.1970
880;Frau;;Holdina;Wolfe;;Reuschenlay;54;91349;Egloffstein;09197/43919436;0150/3255719;;holdina_wolfe@private.none;;10.01.2004
881;Herr;;Humbert;Held;;Heerweg;31;56269;Dierdorf;02689/11119384;0162/5468484;;;;02.01.2018
882;Herr;;Gotthelf;Schütz;;Luhnhofweg;2;55234;Flomborn;06731/69861083;;;gotthelf.1926@email.none;ja;25.02.1965
883;Herr;;Elias;Böger;;Schlehdornweg;128;96364;Marktrodach;09261/67930766;0163/9009073;;elias_boeger@spam-mail.none;;29.04.2020
884;Herr;;Carlheinz;Mittermeier;;Burgacker;59;55413;Oberheimbach;06721/96770484;;;carlheinz.mittermeier@net-mail.none;ja;07.09.2015
885;Frau;;Malin;Mehr;25.12.1980;In der Warthe;121;28325;Bremen;0421/10636663;0155/9374109;;malinmehr@kitty.none;;24.10.1995
886;Frau;;Lindemarie;Eitner;;Auestraße;34;47178;Duisburg;0203/90165701;0167/6810629;;;;07.01.1944
887;Herr;;Michael;Laun;;Eiershäuser Straße;91;57392;Schmallenberg;02972/37406122;;;m.25@goggle-mail.none;;25.07.1945
888;Herr;;Marc;Noack;;An der Ley;182;78148;Gütenbach;07723/6136820;;;marc.noack@bestmail.none;;22.04.1999
889;Frau;;Romana;Iser;;Rennpfad;128;54518;Dodenburg;06571/41176807;0164/8357619;;romana.21@net-mail.none;;21.07.2022
890;Frau;Dr.;Nadine;Lührs;22.09.1958;Pescher Straße;31;31719;Wiedensahl;;0175/8791071;;n-1958@inter-mail.none;;21.01.2013
891;Frau;;Adeltraut;Stadie;;Innsbrucker Straße;87;71404;Korb;07151/92024810;0174/8580735;;adeltrautstadie@domain.none;;11.04.1914
892;Frau;;Gundel;Reichle;;Schützenweg;37;25579;Rade;;0177/9425527;;g-1921@net-mail.none;;08.11.1993
893;k.A.;;Hubert;Lober;;Meinhardingstraße;110;69221;Dossenheim;;0160/8507897;;hubertlober@retromail.none;;05.12.2025
894;Frau;;Nathalie;Kelley;;Landgrafenstraße;35;82418;Riegsee;08841/13581527;;;nkelley@validmail.none;;04.06.1955
895;Frau;;Karena;Dölling;;Thielkeskamp;61;38471;Rühen;05367/73564629;0172/2845889;05367/22534445;karenadoelling@trashmail.none;;07.06.1990
896;Frau;;Anneliese;Strübing;;Hengebachstraße;111;31195;Neuhof;05183/21911964;0157/7742362;;a-struebing@goggle-mail.none;;21.05.2005
897;Frau;;Richardis;Seebacher;;Im Winkel;129;56412;Daubach;02602/35332858;;;richardis_seebacher@open-mail.none;ja;01.07.1981
898;Frau;;Sabine;Priester;14.09.1960;Findlingsstraße;179;24321;Behrensdorf;04381/41532549;0174/3954882;;s.priester@kitty.none;ja;04.02.2026
899;Herr;;Frank;Hemmann;;Untermarktstraße;6;23826;Todesfelde;04558/14445490;0164/6457471;04558/12431580;f.hemmann@mymail.none;ja;08.07.2005
900;Frau;;Melissa;Gronwald;;Donaustraße;25;23869;Elmenhorst;04532/87372760;0161/2233511;;melissa.gronwald@hoster.none;;23.09.2024
901;k.A.;;Kajetan;Alpers;;Nonnengasse;44;93488;Schönthal;09978/62686261;0156/8675915;;kajetan_1982@anymail.none;nein;11.08.1987
902;Frau;;Kora;Schellenberger;;Freiherr-von-Twickel-Straße;171;59069;Hamm;02381/53990486;0154/9837579;;kora.schellenberger@ultramail.none;nein;25.03.1993
903;Frau;;Sibylle;Lehnhardt;;Blaumhöfener Straße;107;91637;Wörnitz;09868/75432935;0176/9881955;;;;01.07.2024
904;Herr;;Maximillian;Wache;;Bültenweg;87;91796;Ettenstatt;09148/34045807;0173/8864383;;maximillianwache@ultramail.none;;14.03.1915
905;Frau;;Biggi;Killian;;Wallbachstraße;88;35768;Siegbach;;;;biggi-killian@quickmail.none;nein;21.09.1990
906;Herr;;Karlgeorg;Eirich;;Raesfeldstraße;169;25853;Drelsdorf;04671/2333860;0173/7806584;04671/43614720;karlgeorg_eirich@goggle-mail.none;ja;15.03.1996
907;Frau;;Sigrid;Bräuer;;Rheinberger Straße;90;21493;Möhnsen;04151/36688992;0175/2194127;;sigrid-braeuer@justmail.none;ja;25.01.2020
908;Frau;;Lucy;Wöhrle;;Oberm Garten;166;56457;Hergenroth;02663/43415967;0161/7655691;;l.woehrle@net-mail.none;nein;10.11.1994
909;Herr;;Siegfrid;Fäth;;Asgardstraße;141b;50827;Köln;;0167/7437899;;;ja;16.11.1993
910;Herr;;Friedbert;Stoffers;;Alsenstraße;34;56761;Düngenheim;02653/62725206;0175/8461228;;;ja;16.05.1998
911;Frau;;Dorothee;Maske;;Schönstraße;70;87733;Markt Rettenbach;08392/36302085;;;dorothee.1976@company.none;;10.07.2021
912;Frau;;Korinna;Rödl;03.01.1974;Bausenhagener Straße;138;57614;Mudenbach;02662/33509269;0175/1545314;;korinnaroedl@hoster.none;;09.07.1974
913;Herr;;Holmer;Hube;;Schladeberg;79;46045;Oberhausen;0208/68368768;0166/6218394;0208/1151877;holmerhube@goggle-mail.none;;01.12.1962
914;Herr;;Luitwin;Schwarzmann;;Bergdahlsweg;199;75334;Straubenhardt;07082/18968480;0177/7695453;;luitwin.schwarzmann@spam-mail.none;;01.06.1944
915;Frau;;Elgard;Oltmanns;;Bartholomäusstraße;87;66851;Hauptstuhl;06371/28231161;0160/3896990;;;;10.12.1996
916;Herr;;Ewald;Lutze;06.11.1942;Friedrich-Gottlob-Keller-Siedlung;171;66903;Ohmbach;06373/93710014;0168/2450915;;ewald_lutze@domain.none;ja;10.09.2018
917;k.A.;;Steff;Chambers;;Sandweg;6;12557;Treptow-Köpenick;030/56055902;0156/7613508;;steff-1905@company.none;ja;05.07.1910
918;Herr;;Heiko;Port;;In der Au;199;56244;Schenkelberg;02626/81246566;0151/4466608;;heiko-51@open-mail.none;;16.03.1997
919;Herr;;Gundhard;Breitfeld;;Harwick;128;38531;Rötgesbüttel;;0168/3540534;05304/68829951;gundhard_breitfeld@hoster.none;;02.03.1953
920;Frau;;Elfie;Freese;;Alte Landstraße;12;55469;Schönborn;06761/61825536;0178/3807449;;elfie-08@domain.none;;07.11.2008
921;Herr;;Can;Kauer;;Saynhofstraße;113;65555;Limburg an der Lahn;06431/16581139;0173/5634599;;;;04.03.1925
922;Herr;;Heinz;Wagener;;Am Wall;79;92259;Neukirchen;09663/6716929;;;h_wagener@ultramail.none;nein;11.10.2010
923;Frau;;Kimberly;Gietl;02.05.2024;Schulkamp;53;38226;Salzgitter;;;;k-gietl@inter-mail.none;;14.11.2024
924;Herr;;Volkrad;Baxmann;;Renaudstraße;190;86477;Adelsried;08294/45479249;0158/1832222;;volkrad_baxmann@bestmail.none;;21.12.1964
925;Herr;;Juri;Boy;19.10.1991;Norbert-Michel-Straße;104;67165;Waldsee;06236/14414693;;06236/31415917;jboy@trashmail.none;;11.02.2001
926;Frau;;Esther;Ziermann;29.02.1940;Margaretenhöhe;178;42699;Solingen;0212/35609694;0165/7842021;;esther.ziermann@spam-mail.none;;23.04.2013
927;Frau;;Pia;Wienhold;;Wackenbrucher Straße;178;39606;Osterburg;03937/87576113;0150/2965802;;pia-wienhold@bestmail.none;;01.01.2020
928;Frau;;Dorkas;Wein;;Hofhaide;36;56829;Kail;02672/20327151;0154/8563939;;;nein;20.10.2007
929;Frau;;Rositta;Prasse;29.12.1924;Ulmener Straße;16;54424;Burtscheid;;0158/7971381;06504/45136250;rositta_prasse@inter-mail.none;ja;11.10.1995
930;Herr;;Mathias;Fehling;;Dilborner Straße;7;26721;Emden;;;04921/76992854;;nein;16.12.2022
931;Herr;;Heyko;Krauße;;Paradiesweg;45;10557;Berlin;030/29729729;0173/1607487;;heykokrausse@live-mail.none;;22.05.2015
932;Herr;;Tom;Wahler;;Rärin;200;48691;Vreden;02564/9018662;0174/1178045;;tomwahler@goggle-mail.none;;14.02.2003
933;Frau;;Juli;Erl;;Sundheller Straße;106;71106;Magstadt;07159/77773045;;;;nein;29.05.2020
934;Herr;;Baldur;Grupe;;Steimelweg;171;32825;Blomberg;05235/44496149;0179/6051775;05235/22238735;baldur_grupe@quickmail.none;;11.03.2015
935;Frau;Dr.;Dorena;Kühling;;Leuteroder Straße;148;53520;Kaltenborn;02691/21995977;0174/4451408;;dorena_kuehling@hoster.none;;15.08.1985
936;Herr;;Ricardo;Strey;31.05.2018;Schmitter Weg;69;56271;Maroth;02626/12647707;0161/6694353;;r_2018@hoster.none;nein;17.04.2023
937;Herr;;Holger;Sahm;;Posener Straße;109;25923;Lexgaard;04663/74495604;0158/2280091;;h.sahm@open-mail.none;;05.04.1952
938;Herr;;Tiberius;Feyerabend;;Mittlere Feldstraße;7;55425;Waldalgesheim;06721/97813409;0173/3199603;;t-feyerabend@bestmail.none;;14.01.2001
939;Frau;;Gunhilde;Nitzschke;14.05.1974;Grillparzerstraße;5;56754;Roes;;;02672/94672221;gunhilde_1974@open-mail.none;;17.04.2015
940;Frau;;Ayleen;Scharl;;Gänsehalsstraße;171;71292;Friolzheim;07044/15001974;;;ayleen-scharl@live-mail.none;ja;09.05.2025
941;Herr;;Torsten;Lingnau;;Langeworth;60;28325;Bremen;0421/37239264;;;t-lingnau@bestmail.none;ja;13.03.2019
942;Frau;;Ingetraud;Kursawe;;Schiefbahner Straße;4;93473;Arnschwang;;;;;ja;11.12.1957
943;k.A.;;Raimond;Erickson;;Lohberg;174;83661;Lenggries;08042/36199334;0175/7521059;;raimond_erickson@spam-mail.none;ja;19.07.1952
944;Frau;;Gertrudt;Laufer;24.01.1932;Ober-Eschbacher Straße;141;73240;Wendlingen am Neckar;;0157/1661195;;glaufer@justmail.none;ja;04.11.2003
945;Frau;;Paulina;Mathis;21.11.1947;Im Schafstück;56;83253;Rimsting;;0163/2527847;;p-mathis@mymail.none;;22.12.1999
946;Frau;;Ignatia;Holzapfel;;Hilchenstraße;29;79862;Höchenschwand;07672/46235074;0151/3523616;;i_holzapfel@funmail.none;;12.07.1981
947;Frau;;Gertrudis;Lehner;;Jakobusstraße;8;73466;Lauchheim;07363/69667010;0176/1419583;;g.lehner@hoster.none;ja;13.11.2004
948;Frau;;Dorchen;Haub;;Am Lanfergraben;165;88149;Nonnenhorn;08382/85713884;0151/9404367;08382/76922594;dorchen.68@ultramail.none;;26.10.1976
949;Herr;;Raimar;Hub;;Am Kehr;65;29472;Damnatz;05861/49846189;0168/2398194;;r_11@quickmail.none;nein;16.04.2022
950;Frau;;Käthchen;Birkel;;Burgstraße;29;21698;Bargstedt;04762/57653167;0154/3324147;;kaethchen32@anymail.none;;24.12.2011
951;Herr;;Wastl;Kreuter;;Bürgerstraße;162;25704;Epenwöhrden;04832/90687258;;;wastl_kreuter@retromail.none;ja;14.01.1939
952;k.A.;;Dorkas;Kummer;;Im Wohnpark Nette;196;76698;Ubstadt-Weiher;07251/18569764;;;d-78@mymail.none;;01.01.1984
953;Frau;Dr.;Juditha;Schroer;;Marienthaler Straße;83;58093;Hagen;02331/35170961;0168/9566316;;;;27.10.2009
954;Herr;;Follrich;Kunzelmann;;Am Haggarten;105;56410;Montabaur;;0179/9661138;;f.15@net-mail.none;ja;18.11.1946
955;Herr;;Wittmar;Wasser;;Starenweg;29;68649;Groß-Rohrheim;;0156/4723554;;wwasser@private.none;;23.03.2023
956;Frau;;Karolina;Hain;;Oulustraße;86;80636;München;089/87440271;0170/8362657;;karolinahain@anymail.none;;07.02.2010
957;Frau;;Lorena;Kirchner;;Plaidter Straße;26;56825;Kliding;02676/76216586;0165/7864506;;lkirchner@quickmail.none;;19.08.2020
958;Frau;;Rosl;Vogelmann;03.09.1953;Stevern;12;26892;Heede;04963/77622275;;;rvogelmann@company.none;;09.07.2017
959;k.A.;;Dietger;Dirkes;21.02.1975;Krozinger Straße;30;21726;Kranenburg;04144/46222394;0179/5782032;;d_1975@mymail.none;;02.08.1995
960;Herr;;Edelmut;Wendel;;Willicher Straße;77;90411;Nürnberg;0911/9347139;0175/2759952;;;;29.06.1989
961;Herr;;Rupprecht;Oßwald;;Am Heller;41;86695;Nordendorf;08273/19986316;0151/7588775;;rupprecht.osswald@open-mail.none;;28.05.1951
962;Frau;;Cläre;Zeeb;;Koberner Weg;154 b;41334;Nettetal;;0167/3598124;;;ja;05.12.1986
963;Herr;;Falk;Rolke;20.04.2018;Unter Scherrlinden;127;92280;Kastl;;0169/1995486;;f_rolke@email.none;;10.02.2026
964;Herr;;Johannes;Jaworski;;Ravenéstraße;141;55758;Allenbach;06786/74100010;0153/6275661;;j-1920@inter-mail.none;;25.12.1924
965;Frau;;Karolina;Treichel;;Blumenberg;44;74939;Zuzenhausen;06226/39924293;;;karolinatreichel@email.none;;06.07.2022
966;Herr;;Konstantin;Klisch;;Hardenbergstraße;134;24610;Trappenkamp;04323/58159158;;;konstantin-klisch@goggle-mail.none;ja;26.01.1975
967;Herr;;Wiegand;Riehle;;Gorch-Fock-Weg;172;25704;Nordermeldorf;04832/11935548;0161/5146923;;wiegand.25@private.none;nein;18.07.1956
